% Model,pzt_power_harvester.mph
% Version,COMSOL 4.3.1.115
% Date,"Apr 26 2017, 14:58"
% Table,Probe Table 2 - 
% freq,"Velocity, Z component (m/s), Boundary Probe 3","Electric potential (V*m), Boundary Probe 1","Current density norm (A/m), Boundary Probe 2","Electric potential (V), Boundary Probe 4"
3235936.569296281,9.944444444444446E-7,3.863951545474506E-7,2.1966199416535926E-4,4.731513232062713E-4
3311311.2148259077,9.944444444444446E-7,1.3644608990525302E-7,8.371990196769627E-4,8.272847561579006E-4
3388441.5613920274,9.944444444444444E-7,2.9444171663949094E-7,6.447760761683472E-5,2.5699364996147576E-4
3467368.504525317,9.944444444444444E-7,2.920986884077901E-7,4.1970865172781974E-5,2.3841331404802555E-4
3548133.892335753,9.944444444444446E-7,2.985025323451181E-7,8.622542095601823E-5,3.353876707326593E-4
3630780.5477010175,9.944444444444446E-7,2.538961525506242E-7,1.20891766101549E-4,2.644494474317318E-4
3715352.290971728,9.944444444444448E-7,2.6584880658031177E-7,1.789625144131731E-4,2.875211922750746E-4
3801893.9632056127,9.944444444444444E-7,3.769291253436657E-8,0.0014126860081381662,7.509627122555717E-4
3890451.449942805,9.944444444444446E-7,-3.116446738489891E-7,0.001693266694649315,9.016367112492558E-4
3981071.7055349695,9.944444444444446E-7,2.684162859194575E-7,2.6821957928228885E-4,3.354081315451962E-4
4073802.7780411304,9.944444444444448E-7,2.452535199059221E-7,9.075954027040474E-5,2.0362008476813598E-4
